,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
dip_001T,-0.8080383349570197,-0.17545736420760005,-0.47485136056900223,-0.05037429421486815,-0.008588518154795149,0.23882153026263794,0.08315308383044766,-0.1613460393547447,0.0036365232907327382,0.037114842701425385
dip_200R,-0.6504410991209523,-0.12588199728539345,0.37716778820335073,0.5676186431667681,0.2716308686340428,0.073716578394512,-0.1407037776090678,-0.027365515249399053,-0.0025304943313049963,-0.0030608910261375947
dip_300R,-0.7327943223156439,0.5496198897896747,-0.23073512952468286,0.026599832499175163,-0.24480577268205728,-0.08363265779032616,-0.15030866769722892,0.14093014128777942,0.020223634537128683,0.009960918045000634
dip_350R,-0.16645367986504364,0.2896579562712745,0.8646330891357897,0.1619395832958444,-0.2553108176276507,0.1189711737709658,0.1906630830498178,0.04151331087063213,0.0031737262928515165,0.0006152846057421109
dip_500R,0.6398421616919779,0.35092852325456875,0.5578899327331439,-0.30193542094816944,-0.054308467613332016,0.07978452544349283,-0.1810088403806989,-0.1522038915552389,-0.005712122741548982,-0.05412543764086205
dip_600R,0.8602373023076222,-0.22021039754232621,0.40029798332717687,-0.08339616521211325,0.09224145874413443,-0.13879604180152624,-0.0039405311503449,-0.017069452618446758,0.027364945333866148,0.13271774552815246
dip_700R,0.8859035660161656,-0.37571860299602405,-0.022377499137466936,-0.0022329582666627723,0.20428860894656484,-0.1301627809164357,0.08812812196793886,0.05579184267761063,-0.029453196211443843,-0.0757308356873761
proportion_imposable_ens_arr,0.8729628554188754,0.1578154072200112,-0.06736437351372807,-0.12338343335190961,0.1688721763972818,0.37079650729527924,-0.03188853283021142,0.16956431966945382,-0.01469907983201117,0.01715749693734684
d1_ens_arr,0.3601448019235427,0.8811485534516338,-0.15156457953191585,0.08272542245340697,0.16146059301869298,-0.020478624909234674,0.09118658118963764,-0.03920520474301312,0.1706433779651731,-0.025967412237239446
q1_ens_arr,0.6706716243449683,0.6925722113423163,-0.2099372888548649,0.12351006143005189,0.03892787607519606,-0.03330236308324894,-0.02872154095762608,-0.035331520074920096,0.003553212526967046,0.04527398646564184
q2_ens_arr,0.921449254476513,0.20539214224679947,-0.21323018037311464,0.20078188460008264,-0.11546207626586927,0.019813857030521766,-0.028124815175138346,-0.032392908809122864,-0.09345571411528247,0.016195819878410053
q3_ens_arr,0.9302948242917398,-0.050799208589578905,-0.20640508872440363,0.23347299703267593,-0.17551138459740478,0.02523664256389404,0.010149048862354258,-0.040659279002968424,-0.051378590125540295,-0.009791743704040727
d9_ens_arr,0.9209834619788843,-0.15628667217426212,-0.21096469176001661,0.22766962771694285,-0.16965135002829518,0.013374988952948644,0.010392136194421319,-0.03065872770288138,0.027399820532790876,-0.01910591117894471
gini_ens_arr,0.4679015431211291,-0.8390583461565915,-0.01717672158049682,0.053532199487754194,-0.1784364024226852,0.07494763705001883,-0.08642992227937026,0.02213121586842248,0.17208170815655527,-0.002679603222282709
