variable,beta,std,zval,pval,description,dispersion,pseudo_r2,aic,nobs,df
(Intercept),-7.83986475802174,2.26184634698885,-3.4661349867814,0.000527998120871296,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
PC1,0.00275816740998872,0.00993597644723646,0.27759399638632,0.781324041275868,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
PC2,0.00217645109543779,0.01826378331312,0.119167592941946,0.905142580744828,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
PC3,0.0694093078756632,0.0165350636496328,4.19770430561388,2.6963437233786e-05,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
tm_summer,0.0332050802297227,0.0281569544962924,1.17928521829643,0.238284622248441,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
tm_winter,-0.0367547882999586,0.0230981379096236,-1.59124464680961,0.111554528672367,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
diag_vitamin_d,0.110526109901186,0.0605902944139419,1.82415535310147,0.0681285891730558,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
diag_calcium,0.0912379808249512,0.0906192674648213,1.00682761378942,0.314017622246991,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
diag_family,-0.000247981194388433,0.0349201447658176,-0.00710137933423388,0.994333966691472,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
diag_other_minerals,-0.10345370901332,0.0905866492585713,-1.14204145820673,0.253436787325141,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
diag_tabacco,0.0698711014807324,0.0225603849139843,3.09707045101975,0.00195443418915704,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
diag_vitamin_b9,-0.0671625012141469,0.0703223869519772,-0.955065721247656,0.339544462508845,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
diag_vitamin_b12,0.101230723061905,0.0624370163357858,1.62132544126528,0.104947861563333,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
somo35_mean,-5.55652761008548e-05,4.0187722108981e-05,-1.38264308562135,0.166774331111065,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
pm10_mean_concentration,0.0220298166143532,0.0216883759084763,1.0157430278467,0.309751772417489,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
o3_mean_concentration,0.00348606649733198,0.00906557867391479,0.384538772727521,0.700579164281198,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
no2_mean_concentration,-0.0222065514492815,0.0109569814812776,-2.02670338425106,0.0426927561743368,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
ges_resid,-6.88194973806885e-06,0.000115458823084346,-0.0596052302823265,0.952470052614859,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
water_no3,-0.00901406842363549,0.00532184374622853,-1.69378675013214,0.0903058127776269,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
prop_robinet,-0.022117123880889,0.0236138328505698,-0.936617279407709,0.348955460408872,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
water_ph,-0.123413564793666,0.263815181425175,-0.4678031193162,0.639925389727511,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
n_equip_d2,-0.0775523785967434,0.0169911803171028,-4.56427259021443,5.01229183463511e-06,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
n_equip_a1,-0.118256881011247,0.045256682578366,-2.6130258400287,0.00897445166483826,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
n_equip_c1,0.0720336719015488,0.153091447484143,0.470527080939711,0.637978490902362,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
n_equip_c2,0.0376342862742921,1.03959908872828,0.0362007688178423,0.971122272964771,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
n_ape5610c,0.00685957431574475,0.0420937544956615,0.162959431819078,0.870550376343027,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
n_ape9312z,-0.0570866143480053,0.0383811838342726,-1.48735939450178,0.136919915321895,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
n_ape4722z,0.552837933854575,0.259771319581921,2.12817155775441,0.0333228620917389,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
n_ape4723z,-0.0413170263107033,0.359794453537297,-0.114835084044508,0.908575839949984,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
coups,0.0586777513979765,0.0167013366990644,3.51335659266504,0.000442483198799461,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
ac_prop,0.785192874788077,0.514881893065515,1.52499609204196,0.127260072396734,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
water_no3:prop_robinet,-5.18569210013437e-06,7.07398451681692e-05,-0.073306523187978,0.94156220091544,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
prop_robinet:water_ph,0.00289939210214492,0.00306097935320346,0.947210604054083,0.343531472966096,poisson-arr24,1.51332549562861,0.0963226624271661,1753.39484728665,315,282
(Intercept),-7.1465831362664,2.66843640537088,-2.67819128905683,0.00740209312685568,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
PC1,0.00109786014329133,0.0118448005689629,0.0926870939615539,0.926152150397563,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
PC2,-0.00305150790247246,0.0214372261421024,-0.142346210383971,0.886806547512014,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
PC3,0.0641112461204849,0.0198687951563966,3.22673043915522,0.00125213360944172,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
tm_summer,0.0265024990926476,0.0327427599035923,0.809415552344442,0.418276159401829,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
tm_winter,-0.043836971403793,0.0273001897974956,-1.60573870471092,0.108331333340054,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
diag_vitamin_d,0.0928735738748715,0.0722791941432683,1.28492818681379,0.198817380078574,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
diag_calcium,0.0807946342513208,0.104584327920458,0.772530988703868,0.439800000354193,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
diag_family,-0.00607388147025398,0.0396506427829465,-0.153184943394318,0.878252430964032,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
diag_other_minerals,-0.125588139041165,0.0990637640565451,-1.26775052651421,0.204887054851079,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
diag_tabacco,0.0679946846133019,0.0255102643834086,2.66538533632463,0.00769001512275478,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
diag_vitamin_b9,-0.0761668811674504,0.0760857258955605,-1.00106662939644,0.316794596976835,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
diag_vitamin_b12,0.0992854005254251,0.0668693002520181,1.48476804978124,0.137605278242731,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
somo35_mean,-6.87220785541641e-05,4.70705116886748e-05,-1.45998154871766,0.144295145022821,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
pm10_mean_concentration,0.0151829731809267,0.0259434884282188,0.585232522717035,0.558391379432455,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
o3_mean_concentration,0.00414965784004147,0.0105909914428719,0.391810140006708,0.69519850226864,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
no2_mean_concentration,-0.0221424911784926,0.0130231338604042,-1.70024292277415,0.0890852416256292,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
ges_resid,-3.84490892465027e-05,0.00013366586079351,-0.287650780971664,0.773614069302935,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
water_no3,-0.00977561342442209,0.0064592091064509,-1.51343814131347,0.130168402820356,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
prop_robinet,-0.0240361171257628,0.0283108340742268,-0.849007735439504,0.395876987967664,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
water_ph,-0.174759503047898,0.31176216750714,-0.560553913405468,0.575101676641137,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
n_equip_d2,-0.0703549027831879,0.0199933363774422,-3.51891757608634,0.000433311307285836,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
n_equip_a1,-0.119705510866986,0.0491519240793485,-2.43541861502184,0.0148745702747056,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
n_equip_c1,0.0763676594811829,0.169292933310614,0.451097739213165,0.651919107035205,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
n_equip_c2,-0.146500788849199,1.13788469162019,-0.128748360820816,0.897556767423697,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
n_ape5610c,0.0231150054737454,0.0508605002460866,0.454478531707402,0.649484440334248,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
n_ape9312z,-0.0571409364367795,0.043754941965899,-1.30593103017513,0.191576013066191,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
n_ape4722z,0.610018608093023,0.289156530742497,2.10964838499969,0.0348886534125962,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
n_ape4723z,-0.0626857201105587,0.414619612343552,-0.151188506873181,0.879827016266232,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
coups,0.0553453063988394,0.0231231397832903,2.39350308468204,0.0166883409999022,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
ac_prop,0.99027661330192,0.598135329691733,1.65560628865091,0.0978015758326892,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
water_no3:prop_robinet,3.68428526153582e-05,8.43349556054541e-05,0.436863366451757,0.662210440811378,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
prop_robinet:water_ph,0.00308087656132641,0.00366814755520114,0.839899844529963,0.400964544815381,negbinom-arr24,1.23545377893975,0.301185559648412,1745.32536763407,315,282
(Intercept),-8.35672367331149,0.472268102844016,-17.694872092752,4.59271985152138e-70,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
PC1,-0.035379519562608,0.00984780261313838,-3.59263085913264,0.000327356168898506,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
PC2,-0.0390760202483922,0.0206021973808273,-1.89669186864295,0.0578686175239308,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
PC3,-0.00867862925076498,0.01787297768361,-0.48557265635281,0.627270187195484,poisson-bv2022,1.19724287470613,0.0228698186877424,4670.68167516925,1628,1602
