,PC1,PC2,PC3,PC4,PC5,PC6
dip_001T,-0.8080383349570193,-0.17545736420759986,-0.47485136056900207,-0.05037429421486821,-0.008588518154795537,0.23882153026263755
dip_200R,-0.6504410991209519,-0.1258819972853938,0.37716778820335056,0.5676186431667686,0.2716308686340424,0.07371657839451268
dip_300R,-0.7327943223156439,0.549619889789676,-0.23073512952468245,0.02659983249917502,-0.24480577268205714,-0.08363265779032698
dip_350R,-0.1664536798650436,0.28965795627127494,0.8646330891357895,0.1619395832958438,-0.2553108176276511,0.11897117377096611
dip_500R,0.6398421616919773,0.3509285232545685,0.5578899327331438,-0.30193542094817,-0.054308467613331586,0.07978452544349234
dip_600R,0.8602373023076217,-0.220210397542326,0.40029798332717687,-0.08339616521211232,0.09224145874413434,-0.13879604180152727
dip_700R,0.885903566016165,-0.3757186029960244,-0.022377499137466818,-0.0022329582666621092,0.20428860894656517,-0.1301627809164351
proportion_imposable_ens_arr,0.8729628554188753,0.15781540722001136,-0.06736437351372805,-0.12338343335191028,0.16887217639728153,0.3707965072952793
d1_ens_arr,0.3601448019235425,0.8811485534516343,-0.15156457953191568,0.08272542245340732,0.16146059301869284,-0.02047862490923457
q1_ens_arr,0.6706716243449679,0.692572211342317,-0.20993728885486465,0.12351006143005211,0.038927876075196245,-0.03330236308324899
q2_ens_arr,0.9214492544765126,0.20539214224679966,-0.2132301803731146,0.20078188460008253,-0.1154620762658696,0.01981385703052182
q3_ens_arr,0.9302948242917394,-0.05079920858957892,-0.20640508872440336,0.23347299703267585,-0.17551138459740476,0.02523664256389418
d9_ens_arr,0.9209834619788838,-0.1562866721742622,-0.21096469176001656,0.22766962771694244,-0.16965135002829593,0.0133749889529488
gini_ens_arr,0.46790154312112897,-0.8390583461565918,-0.01717672158049693,0.05353219948775355,-0.1784364024226852,0.07494763705001821
