arr24,pop_0029,pop_0044,type,count
012,118634.982605956,182941.634385297,t1d_e101,19
012,118634.982605956,182941.634385297,t1d,215
011,42595.4389588193,66195.7084602837,t1d_e101,15
011,42595.4389588193,66195.7084602837,t1d,93
014,33674.33528096,51502.7679807126,t1d_e101,12
014,33674.33528096,51502.7679807126,t1d,75
013,39241.934240594,64806.4373068372,t1d,38
022,53408.8856867743,81453.1563011123,t1d_e101,11
022,53408.8856867743,81453.1563011123,t1d,85
024,36601.4872848192,55437.1370616058,t1d,58
025,23800.4145353389,35572.0325291712,t1d,38
023,44277.2392284743,66431.9158672676,t1d_e101,15
023,44277.2392284743,66431.9158672676,t1d,69
021,23890.2248685899,36772.8904465587,t1d,51
513,117811.588260311,172518.110276746,t1d_e101,12
513,117811.588260311,172518.110276746,t1d,271
033,43804.7120856201,67238.1093082756,t1d,60
032,22908.4971639862,35180.4394051938,t1d,32
031,30428.0532693356,46160.1294531054,t1d_e101,12
031,30428.0532693356,46160.1294531054,t1d,62
043,14036.5654210689,21551.5924483484,t1d,18
044,28976.8136765569,45244.0026249849,t1d,43
051,9331.97573399428,15529.6975392288,t1d,21
052,30921.0457711414,49037.3509243722,t1d,47
061,171292.216591792,272836.567082194,t1d_e101,36
061,171292.216591792,272836.567082194,t1d,359
062,171559.67526822,266824.899539507,t1d_e101,40
062,171559.67526822,266824.899539507,t1d,299
073,43292.4190071108,67331.6190200205,t1d,80
071,27758.3049042183,44166.3236433949,t1d,75
072,27187.8503102904,42098.3026311969,t1d,68
082,12805.5294549759,19776.5768477219,t1d,28
081,50500.773819081,77356.7146767256,t1d,131
084,6245.84885126467,9628.72598244352,t1d,18
083,18386.978413428,27952.4966408484,t1d,51
093,10492.9327915709,17203.5488590007,t1d,15
092,20433.704851504,31250.2238238776,t1d,30
091,13395.5040110962,21335.6917391504,t1d,19
101,7626.35478331609,11923.691482954,t1d,16
103,83124.1117694576,123605.707699807,t1d_e101,21
103,83124.1117694576,123605.707699807,t1d,154
102,18372.6821500335,28154.5083648618,t1d,39
111,50772.554513103,78040.7247774439,t1d_e101,20
111,50772.554513103,78040.7247774439,t1d,145
112,10350.1759024734,16436.3575650007,t1d,18
113,50000.1802242068,77511.8715895154,t1d_e101,12
113,50000.1802242068,77511.8715895154,t1d,145
121,22072.1894143682,34860.9218546644,t1d,34
123,23447.2281252163,37084.5595016207,t1d,52
122,33483.4121507661,51833.6699991271,t1d,64
131,160262.066640386,245890.437374984,t1d_e101,40
131,160262.066640386,245890.437374984,t1d,286
133,390895.621648146,597569.453161552,t1d_e101,134
133,390895.621648146,597569.453161552,t1d,1029
132,53161.8584748363,82753.3507213431,t1d,138
134,113847.208974437,176789.228591736,t1d_e101,42
134,113847.208974437,176789.228591736,t1d,339
143,48048.299843056,73316.2792646931,t1d,91
142,148919.209272336,220415.412286713,t1d_e101,43
142,148919.209272336,220415.412286713,t1d,282
141,22707.1815642379,35309.8104363013,t1d,49
144,22557.112374255,34843.2146184042,t1d,42
504,33879.2121747009,52022.704105433,t1d,61
153,9450.65488284768,15195.6074885127,t1d,20
151,23297.8860307742,36634.1609338639,t1d,38
163,18480.4581817527,28953.7663756697,t1d,39
161,56857.9340192819,87454.2560486723,t1d_e101,17
161,56857.9340192819,87454.2560486723,t1d,110
162,28696.9470263646,45100.1597855388,t1d,56
171,19021.2793344202,29690.3091882532,t1d,45
172,49125.8818251457,77138.7965083483,t1d_e101,17
172,49125.8818251457,77138.7965083483,t1d,122
173,72521.182015201,111433.347504559,t1d_e101,15
173,72521.182015201,111433.347504559,t1d,168
175,14069.959868451,21850.6595294061,t1d,29
174,32771.5193241229,52056.9438427106,t1d,51
181,54313.5347975184,83285.0163123205,t1d_e101,17
181,54313.5347975184,83285.0163123205,t1d,89
182,15903.6523507855,24478.1876247238,t1d,29
183,19874.4788243233,30715.1598253438,t1d,40
192,18768.7075560227,29655.8337129813,t1d,47
193,11659.9588260636,17728.7586854356,t1d,38
191,37572.2931348839,58659.7951531245,t1d,124
211,33487.8926757044,52622.0624171943,t1d,74
212,139234.34244392,205429.964353089,t1d_e101,21
212,139234.34244392,205429.964353089,t1d,295
213,16031.6215728143,24787.4236090955,t1d,36
224,87701.9799945574,133582.769293218,t1d_e101,22
224,87701.9799945574,133582.769293218,t1d,268
221,30981.4372628493,48468.4657616281,t1d,75
222,36899.0944100039,56255.1222083025,t1d,93
223,27078.1143807096,41231.7726195379,t1d,52
232,19053.9099623395,29612.415782124,t1d,28
231,10430.0377496493,16429.0035726758,t1d,17
242,12201.9937267241,19716.7713185107,t1d,27
243,50301.6302931777,78437.6427656439,t1d_e101,20
243,50301.6302931777,78437.6427656439,t1d,123
244,19561.0772573226,31252.6161174671,t1d,46
241,26913.0323634047,42222.0546212435,t1d_e101,12
241,26913.0323634047,42222.0546212435,t1d,67
251,96295.9390054048,140587.660368628,t1d_e101,14
251,96295.9390054048,140587.660368628,t1d,184
252,58892.8923817462,90377.2955278599,t1d_e101,20
252,58892.8923817462,90377.2955278599,t1d,124
253,44316.185996402,70025.6196121123,t1d,102
261,20777.4718854648,33395.2669285182,t1d,31
263,103190.843118522,157577.323174139,t1d_e101,43
263,103190.843118522,157577.323174139,t1d,230
262,47956.6891212208,74412.1819496171,t1d_e101,11
262,47956.6891212208,74412.1819496171,t1d,117
