dep,pop_0029,pop_0044,type,count
01,234146.691086329,365446.548133131,t1d_e101,51
01,234146.691086329,365446.548133131,t1d,421
02,181978.251603997,275667.132205716,t1d_e101,43
02,181978.251603997,275667.132205716,t1d,301
03,97141.2625189419,148578.678166575,t1d_e101,23
03,97141.2625189419,148578.678166575,t1d,154
04,47718.2589984545,74447.3638805417,t1d_e101,11
04,47718.2589984545,74447.3638805417,t1d,68
05,40253.0215051356,64567.048463601,t1d,68
06,342851.891860012,539661.466621701,t1d_e101,76
06,342851.891860012,539661.466621701,t1d,658
07,98238.5742216195,153596.245294612,t1d_e101,23
07,98238.5742216195,153596.245294612,t1d,223
08,87939.1305387495,134714.514147739,t1d_e101,14
08,87939.1305387495,134714.514147739,t1d,228
09,44322.1416541712,69789.4644220287,t1d,64
10,109123.148702807,163683.907547622,t1d_e101,33
10,109123.148702807,163683.907547622,t1d,209
11,111122.910639783,171988.95393196,t1d_e101,34
11,111122.910639783,171988.95393196,t1d,308
12,79002.8296903506,123779.151355412,t1d_e101,25
12,79002.8296903506,123779.151355412,t1d,150
13,718166.755737805,1103002.46984961,t1d_e101,226
13,718166.755737805,1103002.46984961,t1d,1792
14,242231.803053885,363884.716606111,t1d_e101,65
14,242231.803053885,363884.716606111,t1d,464
15,38305.3433278407,60842.7026956941,t1d,66
16,104035.339227399,161508.182209881,t1d_e101,30
16,104035.339227399,161508.182209881,t1d,205
17,187509.822367341,292170.056573277,t1d_e101,49
17,187509.822367341,292170.056573277,t1d,415
18,90091.6659726272,138478.363762388,t1d_e101,24
18,90091.6659726272,138478.363762388,t1d,158
19,68000.9595169702,106044.387551541,t1d_e101,15
19,68000.9595169702,106044.387551541,t1d,209
21,188753.856692439,282839.450379379,t1d_e101,34
21,188753.856692439,282839.450379379,t1d,405
22,182660.62604812,279538.129882686,t1d_e101,38
22,182660.62604812,279538.129882686,t1d,488
23,29483.9477119888,46041.4193547997,t1d,45
24,108977.733640629,171629.084822865,t1d_e101,47
24,108977.733640629,171629.084822865,t1d,263
25,199505.017383553,300990.5755086,t1d_e101,44
25,199505.017383553,300990.5755086,t1d,410
26,171925.004125207,265384.772052274,t1d_e101,56
26,171925.004125207,265384.772052274,t1d,378
27,206654.635530162,318660.66011571,t1d_e101,45
27,206654.635530162,318660.66011571,t1d,353
28,147611.68468286,226014.330136581,t1d_e101,29
28,147611.68468286,226014.330136581,t1d,200
29,293339.191862816,450907.994247587,t1d_e101,51
29,293339.191862816,450907.994247587,t1d,622
30,242687.105920848,370836.329709332,t1d_e101,67
30,242687.105920848,370836.329709332,t1d,647
31,551898.8460417,843404.412338536,t1d_e101,143
31,551898.8460417,843404.412338536,t1d,1123
32,52542.5841096226,82134.7601541573,t1d_e101,16
32,52542.5841096226,82134.7601541573,t1d,130
33,586872.48816107,910555.909258154,t1d_e101,172
33,586872.48816107,910555.909258154,t1d,1044
34,420107.484601104,636335.639858729,t1d_e101,84
34,420107.484601104,636335.639858729,t1d,924
35,416104.282786795,625589.765250204,t1d_e101,78
35,416104.282786795,625589.765250204,t1d,1096
36,60707.5653468284,93287.5069240301,t1d_e101,11
36,60707.5653468284,93287.5069240301,t1d,93
37,211607.353835799,319105.249169263,t1d_e101,31
37,211607.353835799,319105.249169263,t1d,295
38,470714.045704933,712839.073795451,t1d_e101,95
38,470714.045704933,712839.073795451,t1d,837
