value,count,prop,variable,population
Home,28372398,95.504334207431,modeentree,All Visits
Transfer,615921,2.07325179314682,modeentree,All Visits
Other,719650,2.42241399942218,modeentree,All Visits
47,612017,2.06011053801759,week,All Visits
6,594963,2.00270506543211,week,All Visits
22,550513,1.85308191212937,week,All Visits
19,540382,1.81897995113702,week,All Visits
21,613320,2.06449656656098,week,All Visits
41,612069,2.06028557522731,week,All Visits
13,613122,2.06383007872399,week,All Visits
4,593271,1.99700962391606,week,All Visits
39,602035,2.02651012595307,week,All Visits
35,543748,1.83031024436575,week,All Visits
37,596333,2.00731662268801,week,All Visits
51,593937,1.99925144664046,week,All Visits
7,576821,1.94163727584339,week,All Visits
45,619248,2.08445080846826,week,All Visits
8,564919,1.90157395142024,week,All Visits
49,620752,2.08951342314919,week,All Visits
30,516759,1.73946256642452,week,All Visits
33,392889,1.32250373628705,week,All Visits
16,579894,1.95198130171739,week,All Visits
43,575538,1.93731856930375,week,All Visits
34,490156,1.64991420315539,week,All Visits
38,594809,2.00218668600334,week,All Visits
3,598063,2.01313997601115,week,All Visits
26,604439,2.03460223080211,week,All Visits
14,611894,2.05969650769462,week,All Visits
48,632816,2.1301220558026,week,All Visits
24,607619,2.0453064293961,week,All Visits
46,619091,2.08392233073893,week,All Visits
15,525527,1.76897653286228,week,All Visits
28,501031,1.68652054268671,week,All Visits
17,567295,1.90957180546405,week,All Visits
12,596196,2.00685546696242,week,All Visits
18,537212,1.8083094135449,week,All Visits
5,609051,2.05012668486358,week,All Visits
44,486896,1.63894071654646,week,All Visits
50,623756,2.0996251881103,week,All Visits
11,598912,2.01599779506973,week,All Visits
10,598355,2.01412287726569,week,All Visits
2,597981,2.01286395579583,week,All Visits
9,601001,2.02302957835993,week,All Visits
29,553571,1.86337544650057,week,All Visits
23,610262,2.05420303218978,week,All Visits
27,600864,2.02256842263434,week,All Visits
40,619566,2.08552122832766,week,All Visits
25,602335,2.02751995600911,week,All Visits
20,505039,1.70001187223536,week,All Visits
36,574835,1.93495220087243,week,All Visits
1,583666,1.96467823162196,week,All Visits
31,483130,1.62626398324301,week,All Visits
42,620912,2.09005199917908,week,All Visits
52,368487,1.24036415952905,week,All Visits
32,444328,1.49565256379526,week,All Visits
53,26344,0.0886765433207501,week,All Visits
Home,10705,87.8972000985303,modeentree,T1D - E101
Other,52,0.426964446998933,modeentree,T1D - E101
Transfer,1422,11.6758354544708,modeentree,T1D - E101
1,307,2.5207324082437,week,T1D - E101
2,276,2.26619591099433,week,T1D - E101
3,220,1.80638804499548,week,T1D - E101
4,246,2.01987026849495,week,T1D - E101
5,263,2.1594547992446,week,T1D - E101
6,256,2.10197881599475,week,T1D - E101
7,219,1.7981771902455,week,T1D - E101
8,236,1.93776172099516,week,T1D - E101
9,237,1.94597257574514,week,T1D - E101
10,221,1.81459889974546,week,T1D - E101
11,227,1.86386402824534,week,T1D - E101
12,232,1.90491830199524,week,T1D - E101
13,222,1.82280975449544,week,T1D - E101
14,208,1.70785778799573,week,T1D - E101
15,239,1.96239428524509,week,T1D - E101
16,191,1.56827325724608,week,T1D - E101
17,214,1.75712291649561,week,T1D - E101
18,214,1.75712291649561,week,T1D - E101
19,184,1.51079727399622,week,T1D - E101
20,237,1.94597257574514,week,T1D - E101
21,226,1.85565317349536,week,T1D - E101
22,206,1.69143607849577,week,T1D - E101
23,238,1.95418343049511,week,T1D - E101
24,226,1.85565317349536,week,T1D - E101
25,223,1.83102060924542,week,T1D - E101
26,199,1.63396009524592,week,T1D - E101
27,187,1.53542983824616,week,T1D - E101
28,208,1.70785778799573,week,T1D - E101
29,233,1.91312915674522,week,T1D - E101
30,236,1.93776172099516,week,T1D - E101
31,226,1.85565317349536,week,T1D - E101
32,220,1.80638804499548,week,T1D - E101
33,183,1.50258641924624,week,T1D - E101
34,238,1.95418343049511,week,T1D - E101
35,232,1.90491830199524,week,T1D - E101
36,247,2.02808112324493,week,T1D - E101
37,243,1.99523770424501,week,T1D - E101
38,232,1.90491830199524,week,T1D - E101
39,239,1.96239428524509,week,T1D - E101
40,222,1.82280975449544,week,T1D - E101
41,234,1.9213400114952,week,T1D - E101
42,223,1.83102060924542,week,T1D - E101
43,267,2.19229821824452,week,T1D - E101
44,230,1.88849659249528,week,T1D - E101
45,255,2.09376796124477,week,T1D - E101
46,243,1.99523770424501,week,T1D - E101
47,267,2.19229821824452,week,T1D - E101
48,243,1.99523770424501,week,T1D - E101
49,249,2.04450283274489,week,T1D - E101
50,257,2.11018967074472,week,T1D - E101
51,277,2.27440676574431,week,T1D - E101
52,289,2.37293702274407,week,T1D - E101
53,32,0.262747351999343,week,T1D - E101
Home,165172,96.0279993488524,modeentree,T1D - All
Other,438,0.254645240808353,modeentree,T1D - All
Transfer,6394,3.71735541033929,modeentree,T1D - All
1,3370,1.95925676147066,week,T1D - All
2,3717,2.16099625590103,week,T1D - All
3,3678,2.13832236459617,week,T1D - All
4,3631,2.11099741866468,week,T1D - All
5,3741,2.17494941978094,week,T1D - All
6,3626,2.10809050952303,week,T1D - All
7,3367,1.95751261598567,week,T1D - All
8,3362,1.95460570684403,week,T1D - All
9,3720,2.16274040138601,week,T1D - All
10,3691,2.14588032836446,week,T1D - All
11,3738,2.17320527429595,week,T1D - All
12,2866,1.66624031999256,week,T1D - All
13,3905,2.27029603962699,week,T1D - All
14,3940,2.29064440361852,week,T1D - All
15,3098,1.80112090416502,week,T1D - All
16,3298,1.91739726983093,week,T1D - All
17,3326,1.93367596102416,week,T1D - All
18,3081,1.79123741308342,week,T1D - All
19,3028,1.76042417618195,week,T1D - All
20,2661,1.547057045185,week,T1D - All
21,3772,2.19297225645915,week,T1D - All
22,3087,1.79472570405339,week,T1D - All
23,3652,2.1232064370596,week,T1D - All
24,3805,2.21215785679403,week,T1D - All
25,3461,2.01216250784865,week,T1D - All
26,3647,2.12029952791796,week,T1D - All
27,3617,2.10285807306807,week,T1D - All
28,2764,1.60693937350294,week,T1D - All
29,2795,1.62496221018116,week,T1D - All
30,2617,1.52147624473849,week,T1D - All
31,2265,1.31682984116648,week,T1D - All
32,2045,1.18892583893398,week,T1D - All
33,1668,0.969744889653729,week,T1D - All
34,2326,1.35229413269459,week,T1D - All
35,3047,1.77147043092021,week,T1D - All
36,3214,1.86856119625125,week,T1D - All
37,3685,2.14239203739448,week,T1D - All
38,3594,2.08948629101649,week,T1D - All
39,3606,2.09646287295644,week,T1D - All
40,3470,2.01739494430362,week,T1D - All
41,3750,2.1801818562359,week,T1D - All
42,3752,2.18134461989256,week,T1D - All
43,3265,1.89821166949606,week,T1D - All
44,2441,1.41915304295249,week,T1D - All
45,3778,2.19646054742913,week,T1D - All
46,3654,2.12436920071626,week,T1D - All
47,3655,2.12495058254459,week,T1D - All
48,3777,2.1958791656008,week,T1D - All
49,3797,2.20750680216739,week,T1D - All
50,3903,2.26913327597033,week,T1D - All
51,3540,2.05809167228669,week,T1D - All
52,1603,0.931955070812307,week,T1D - All
53,108,0.062789237459594,week,T1D - All
