age,sexe,count,total
2,1,232,103811
2,2,161,103811
4,1,425,103811
4,2,335,103811
6,1,635,103811
6,2,619,103811
8,1,927,103811
8,2,853,103811
10,1,1181,103811
10,2,1129,103811
12,1,1425,103811
12,2,1434,103811
14,1,1596,103811
14,2,1475,103811
16,1,1723,103811
16,2,1459,103811
18,1,1607,103811
18,2,1471,103811
20,1,1218,103811
20,2,1185,103811
22,1,1141,103811
22,2,1197,103811
24,1,1029,103811
24,2,1100,103811
26,1,1004,103811
26,2,1065,103811
28,1,1072,103811
28,2,1110,103811
30,1,1031,103811
30,2,1083,103811
32,1,1108,103811
32,2,1216,103811
34,1,1160,103811
34,2,1095,103811
36,1,1186,103811
36,2,1243,103811
38,1,1197,103811
38,2,1179,103811
40,1,1203,103811
40,2,1085,103811
42,1,1227,103811
42,2,1198,103811
44,1,1236,103811
44,2,1079,103811
46,1,1234,103811
46,2,1023,103811
48,1,1243,103811
48,2,1038,103811
50,1,1392,103811
50,2,1149,103811
52,1,1431,103811
52,2,1111,103811
54,1,1418,103811
54,2,1195,103811
56,1,1502,103811
56,2,1129,103811
58,1,1591,103811
58,2,1252,103811
60,1,1571,103811
60,2,1207,103811
62,1,1565,103811
62,2,1124,103811
64,1,1543,103811
64,2,1168,103811
66,1,1616,103811
66,2,1195,103811
68,1,1738,103811
68,2,1217,103811
70,1,1700,103811
70,2,1209,103811
72,1,1759,103811
72,2,1256,103811
74,1,1729,103811
74,2,1260,103811
76,1,1682,103811
76,2,1198,103811
78,1,1302,103811
78,2,991,103811
80,1,1050,103811
80,2,904,103811
82,1,934,103811
82,2,769,103811
84,1,796,103811
84,2,732,103811
86,1,629,103811
86,2,682,103811
88,1,510,103811
88,2,586,103811
90,1,359,103811
90,2,480,103811
92,1,231,103811
92,2,373,103811
94,1,120,103811
94,2,247,103811
96,1,70,103811
96,2,112,103811
98,1,30,103811
98,2,56,103811
100,1,13,103811
100,2,22,103811
