age,sexe,count,total
2,1,99,9571
2,2,74,9571
4,1,110,9571
4,2,83,9571
6,1,110,9571
6,2,116,9571
8,1,155,9571
8,2,170,9571
10,1,198,9571
10,2,203,9571
12,1,283,9571
12,2,249,9571
14,1,271,9571
14,2,252,9571
16,1,201,9571
16,2,218,9571
18,1,252,9571
18,2,244,9571
20,1,272,9571
20,2,258,9571
22,1,212,9571
22,2,230,9571
24,1,185,9571
24,2,173,9571
26,1,192,9571
26,2,137,9571
28,1,165,9571
28,2,121,9571
30,1,146,9571
30,2,97,9571
32,1,157,9571
32,2,106,9571
34,1,146,9571
34,2,78,9571
36,1,135,9571
36,2,81,9571
38,1,159,9571
38,2,66,9571
40,1,136,9571
40,2,90,9571
42,1,119,9571
42,2,79,9571
44,1,129,9571
44,2,65,9571
46,1,96,9571
46,2,76,9571
48,1,101,9571
48,2,56,9571
50,1,88,9571
50,2,67,9571
52,1,120,9571
52,2,53,9571
54,1,89,9571
54,2,78,9571
56,1,89,9571
56,2,83,9571
58,1,79,9571
58,2,66,9571
60,1,73,9571
60,2,56,9571
62,1,74,9571
62,2,41,9571
64,1,85,9571
64,2,50,9571
66,1,58,9571
66,2,48,9571
68,1,48,9571
68,2,56,9571
70,1,45,9571
70,2,56,9571
72,1,52,9571
72,2,54,9571
74,1,45,9571
74,2,53,9571
76,1,47,9571
76,2,44,9571
78,1,35,9571
78,2,47,9571
80,1,26,9571
80,2,33,9571
82,1,21,9571
82,2,27,9571
84,1,23,9571
84,2,28,9571
86,1,18,9571
86,2,24,9571
88,1,18,9571
88,2,26,9571
